id,run,step,nb_data
33,0,0,1
33,0,1,1
33,0,2,2
33,0,3,2
33,0,4,2
33,0,5,2
33,0,6,3
33,0,7,3
33,0,8,3
33,0,9,3
33,0,10,3
33,0,11,3
33,0,12,3
33,0,13,3
33,0,14,3
33,0,15,3
33,0,16,3
33,0,17,3
33,0,18,3
33,0,19,3
33,0,20,3
33,0,21,3
33,0,22,3
33,0,23,3
33,0,24,3
33,0,25,3
33,0,26,3
33,0,27,3
33,0,28,3
33,0,29,8
33,0,30,10
33,0,31,12
33,0,32,14
33,0,33,16
33,0,34,18
33,0,35,20
33,0,36,22
33,0,37,25
33,0,38,29
33,0,39,33
33,0,40,36
33,0,41,39
33,0,42,30
33,0,43,21
33,0,44,12
33,0,45,7
33,0,46,14
33,0,47,21
33,0,48,12
33,0,49,7
33,0,50,4
33,0,51,7
33,0,52,8
33,0,53,5
33,0,54,3
33,0,55,2
33,0,56,5
33,0,57,6
33,0,58,7
33,0,59,7
33,0,60,17
33,0,61,24
33,0,62,27
33,0,63,30
33,0,64,33
33,0,65,35
33,0,66,38
33,0,67,41
33,0,68,41
33,0,69,32
33,0,70,23
33,0,71,36
33,0,72,41
33,0,73,41
33,0,74,32
33,0,75,23
33,0,76,29
33,0,77,34
33,0,78,39
33,0,79,41
33,0,80,41
33,0,81,32
33,0,82,23
33,0,83,28
33,0,84,23
33,0,85,18
33,0,86,23
33,0,87,27
33,0,88,31
33,0,89,35
33,0,90,39
33,0,91,34
33,0,92,28
33,0,93,21
33,0,94,13
33,0,95,8
33,0,96,5
33,0,97,3
33,0,98,4
33,0,99,4
33,0,100,6
33,0,101,9
33,0,102,12
33,0,103,8
33,0,104,6
33,0,105,5
33,0,106,10
33,0,107,15
33,0,108,22
33,0,109,27
33,0,110,21
33,0,111,25
33,0,112,29
33,0,113,31
33,0,114,30
33,0,115,24
33,0,116,28
33,0,117,41
33,0,118,41
33,0,119,32
33,0,120,23
33,0,121,37
33,0,122,41
33,0,123,41
33,0,124,32
33,0,125,23
33,0,126,30
33,0,127,36
33,0,128,41
33,0,129,41
33,0,130,42
33,0,131,43
33,0,132,41
33,0,133,41
33,0,134,32
33,0,135,23
33,0,136,27
33,0,137,33
33,0,138,41
33,0,139,41
33,0,140,32
33,0,141,23
33,0,142,33
33,0,143,41
33,0,144,41
33,0,145,32
33,0,146,23
33,0,147,30
33,0,148,37
33,0,149,41
33,0,150,41
33,0,151,32
33,0,152,23
33,0,153,20
33,0,154,20
33,0,155,41
33,0,156,41
33,0,157,32
33,0,158,23
33,0,159,41
33,0,160,41
33,0,161,32
33,0,162,23
33,0,163,30
33,0,164,41
33,0,165,41
33,0,166,32
33,0,167,23
33,0,168,14
33,0,169,8
33,0,170,8
33,0,171,8
33,0,172,5
33,0,173,3
33,0,174,2
33,0,175,2
33,0,176,2
33,0,177,2
33,0,178,2
33,0,179,4
33,0,180,3
33,0,181,2
33,0,182,2
33,0,183,2
33,0,184,2
33,0,185,2
33,0,186,7
33,0,187,4
33,0,188,3
33,0,189,2
33,0,190,2
33,0,191,2
33,0,192,2
33,0,193,2
33,0,194,2
33,0,195,2
33,0,196,2
33,0,197,2
33,0,198,2
33,0,199,2
33,0,200,2
33,0,201,2
33,0,202,2
33,0,203,2
33,0,204,2
33,0,205,2
33,0,206,2
33,0,207,2
33,0,208,2
33,0,209,2
33,0,210,2
33,0,211,2
33,0,212,2
33,0,213,2
33,0,214,2
33,0,215,2
33,0,216,2
33,0,217,2
33,0,218,2
33,0,219,2
33,0,220,2
33,0,221,2
33,0,222,2
33,0,223,2
33,0,224,2
33,0,225,4
33,0,226,3
33,0,227,2
33,0,228,4
33,0,229,5
33,0,230,3
33,0,231,2
33,0,232,4
33,0,233,5
33,0,234,3
33,0,235,2
33,0,236,2
33,0,237,2
33,0,238,2
33,0,239,2
33,0,240,2
33,0,241,2
33,0,242,2
33,0,243,2
33,0,244,2
33,0,245,5
33,0,246,8
33,0,247,10
33,0,248,10
33,0,249,9
33,0,250,9
33,0,251,9
33,0,252,12
33,0,253,10
33,0,254,25
33,0,255,38
33,0,256,41
33,0,257,38
33,0,258,29
33,0,259,41
33,0,260,41
33,0,261,32
33,0,262,23
33,0,263,34
33,0,264,25
33,0,265,16
33,0,266,10
33,0,267,7
33,0,268,4
33,0,269,3
33,0,270,4
33,0,271,3
33,0,272,2
33,0,273,2
33,0,274,2
33,0,275,2
33,0,276,2
33,0,277,2
33,0,278,2
33,0,279,4
33,0,280,8
33,0,281,5
33,0,282,3
33,0,283,2
33,0,284,2
33,0,285,7
33,0,286,4
33,0,287,6
33,0,288,4
33,0,289,3
33,0,290,7
33,0,291,4
33,0,292,3
33,0,293,2
33,0,294,2
33,0,295,2
33,0,296,2
33,0,297,2
33,0,298,2
33,0,299,2
33,0,300,2
33,0,301,2
33,0,302,7
33,0,303,4
33,0,304,3
33,0,305,2
33,0,306,2
33,0,307,2
33,0,308,2
33,0,309,2
33,0,310,2
33,0,311,2
33,0,312,2
33,0,313,2
33,0,314,2
33,0,315,7
33,0,316,10
33,0,317,12
33,0,318,14
33,0,319,8
33,0,320,5
33,0,321,3
33,0,322,2
33,0,323,8
33,0,324,5
33,0,325,3
33,0,326,2
33,0,327,6
33,0,328,4
33,0,329,3
33,0,330,2
33,0,331,2
33,0,332,2
33,0,333,2
33,0,334,2
33,0,335,2
33,0,336,2
33,0,337,7
33,0,338,4
33,0,339,3
33,0,340,5
33,0,341,6
33,0,342,4
33,0,343,3
33,0,344,3
33,0,345,3
33,0,346,2
33,0,347,2
33,0,348,2
33,0,349,2
33,0,350,2
33,0,351,2
33,0,352,2
33,0,353,5
33,0,354,3
33,0,355,2
33,0,356,2
33,0,357,3
33,0,358,2
33,0,359,2
33,0,360,2
33,0,361,2
33,0,362,5
33,0,363,3
33,0,364,2
33,0,365,6
33,0,366,7
33,0,367,4
33,0,368,3
33,0,369,6
33,0,370,4
33,0,371,3
33,0,372,2
33,0,373,2
33,0,374,2
33,0,375,2
33,0,376,2
33,0,377,2
33,0,378,2
33,0,379,2
33,0,380,3
33,0,381,8
33,0,382,16
33,0,383,28
33,0,384,30
33,0,385,32
33,0,386,34
33,0,387,36
33,0,388,38
33,0,389,40
33,0,390,33
33,0,391,36
33,0,392,38
33,0,393,41
33,0,394,40
33,0,395,31
33,0,396,33
33,0,397,35
33,0,398,37
33,0,399,39
33,0,400,41
33,0,401,41
33,0,402,32
33,0,403,23
33,0,404,15
33,0,405,9
33,0,406,14
33,0,407,9
33,0,408,6
33,0,409,4
33,0,410,3
33,0,411,16
33,0,412,26
33,0,413,19
33,0,414,12
33,0,415,8
33,0,416,22
33,0,417,36
33,0,418,28
33,0,419,20
33,0,420,12
33,0,421,29
33,0,422,41
33,0,423,33
33,0,424,24
33,0,425,16
33,0,426,30
33,0,427,41
33,0,428,33
33,0,429,24
33,0,430,16
33,0,431,30
33,0,432,41
33,0,433,33
33,0,434,24
33,0,435,30
33,0,436,41
33,0,437,41
33,0,438,32
33,0,439,23
33,0,440,15
33,0,441,9
33,0,442,22
33,0,443,31
33,0,444,23
33,0,445,15
33,0,446,20
33,0,447,25
33,0,448,17
33,0,449,10
33,0,450,8
33,0,451,7
33,0,452,5
33,0,453,4
33,0,454,10
33,0,455,16
33,0,456,10
33,0,457,6
33,0,458,10
33,0,459,15
33,0,460,8
33,0,461,5
33,0,462,10
33,0,463,16
33,0,464,9
33,0,465,10
33,0,466,6
33,0,467,4
33,0,468,3
33,0,469,2
33,0,470,2
33,0,471,8
33,0,472,14
33,0,473,20
33,0,474,26
33,0,475,32
33,0,476,37
33,0,477,41
33,0,478,41
33,0,479,32
33,0,480,23
33,0,481,30
33,0,482,36
33,0,483,41
33,0,484,41
33,0,485,32
33,0,486,23
33,0,487,32
33,0,488,40
33,0,489,41
33,0,490,41
33,0,491,32
33,0,492,23
33,0,493,30
33,0,494,35
33,0,495,41
33,0,496,41
33,0,497,32
33,0,498,23
33,0,499,39
