id,run,step,arrival_time,creation_time
0,0,2,2,0
0,0,6,6,0
0,0,7,7,0
0,0,10,10,0
0,0,11,11,9
0,0,11,11,8
0,0,11,11,7
0,0,11,11,7
0,0,11,11,9
0,0,12,12,10
0,0,12,12,6
0,0,12,12,7
0,0,12,12,8
0,0,12,12,6
0,0,12,12,8
0,0,13,13,5
0,0,13,13,8
0,0,13,13,7
0,0,13,13,9
0,0,13,13,6
0,0,14,14,8
0,0,14,14,5
0,0,14,14,10
0,0,14,14,7
0,0,14,14,6
0,0,15,15,10
0,0,15,15,5
0,0,15,15,9
0,0,15,15,0
0,0,15,15,6
0,0,16,16,5
0,0,16,16,6
0,0,16,16,4
0,0,16,16,9
0,0,16,16,5
0,0,17,17,10
0,0,17,17,4
0,0,17,17,8
0,0,18,18,10
0,0,18,18,9
0,0,18,18,7
0,0,19,19,9
0,0,19,19,9
0,0,20,20,10
0,0,20,20,10
0,0,21,21,19
0,0,21,21,10
0,0,21,21,3
0,0,21,21,10
0,0,21,21,4
0,0,21,21,19
0,0,22,22,20
0,0,22,22,18
0,0,22,22,17
0,0,22,22,16
0,0,22,22,17
0,0,22,22,18
0,0,23,23,15
0,0,23,23,17
0,0,23,23,19
0,0,23,23,16
0,0,23,23,18
0,0,24,24,16
0,0,24,24,16
0,0,24,24,13
0,0,24,24,17
0,0,24,24,3
0,0,25,25,17
0,0,25,25,15
0,0,25,25,20
0,0,25,25,16
0,0,25,25,18
0,0,26,26,15
0,0,26,26,16
0,0,26,26,15
0,0,26,26,19
0,0,26,26,14
0,0,27,27,12
0,0,27,27,17
0,0,27,27,12
0,0,27,27,13
0,0,27,27,14
0,0,27,27,20
0,0,28,28,19
0,0,28,28,11
0,0,28,28,11
0,0,28,28,18
0,0,28,28,14
0,0,28,28,14
0,0,28,28,19
0,0,29,29,12
0,0,29,29,12
0,0,29,29,18
0,0,29,29,13
0,0,29,29,20
0,0,29,29,13
0,0,30,30,11
0,0,30,30,20
0,0,30,30,11
0,0,30,30,20
0,0,30,30,19
0,0,31,31,29
0,0,31,31,19
0,0,31,31,19
0,0,31,31,20
0,0,31,31,29
0,0,31,31,18
